name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Birds of Paradise",1,"Creature - Bird",G,"lea","186",rare,g,Not Owned,,false,,,"","",
"Delighted Halfling",1,"Creature - Halfling Citizen",G,"ltr","158",rare,g,Not Owned,,false,,,"","",112226
"Elvish Mystic",1,"Creature - Elf Druid",G,"m14","169",common,g,Not Owned,,false,,,"","",49499
"Fyndhorn Elves",1,"Creature - Elf Druid",G,"ice","244",common,g,Owned,Non-foil,false,,,"","",
"Haywire Mite",1,"Artifact Creature - Insect",G,"bro","199",uncommon,g,Not Owned,,false,,,"","",105018
"Hexdrinker",1,"Creature - Snake",G,"mh1","168",mythic,g,Not Owned,,false,,,"","",72708
"Llanowar Elves",1,"Creature - Elf Druid",G,"dd1","9",common,g,Not Owned,,false,,,"","",28931
"Sylvan Safekeeper",1,"Creature - Human Wizard",G,"jud","133",rare,g,Not Owned,,false,,,"","",17374
"Bloom Tender",2,"Creature - Elf Druid",G,"eve","66",rare,g,Not Owned,,false,,,"","",30260
"Bristly Bill, Spine Sower",2,"Legendary Creature - Plant Druid",G,"otj","157",mythic,g,Not Owned,,false,,,"","",124225
"Collector Ouphe",2,"Creature - Ouphe",G,"mh1","158",rare,g,Not Owned,,false,,,"","",72688
"Fanatic of Rhonas",2,"Creature - Snake Druid",G,"mh3","152",rare,g,Not Owned,,false,,,"","",126321
"Lotus Cobra",2,"Creature - Snake",G,"zen","168",mythic,g,Not Owned,,false,,,"","",34546
"Priest of Titania",2,"Creature - Elf Druid",G,"plst","C14-210",common,g,Owned,Non-foil,false,,,"","",
"Rofellos, Llanowar Emissary",2,"Legendary Creature - Elf Druid",G,"uds","118",rare,g,Not Owned,,false,,,"","",12913
"Scavenging Ooze",2,"Creature - Ooze",G,"cmd","170",rare,g,Not Owned,,false,,,"","",40630
"Springheart Nantuko",2,"Enchantment Creature - Insect Monk",G,"mh3","171",rare,g,Not Owned,,false,,,"","",126359
"Sylvan Caryatid",2,"Creature - Plant",G,"ths","180",rare,g,Not Owned,,false,,,"","",50260
"Tarmogoyf",2,"Creature - Lhurgoyf",G,"fut","153",rare,g,Not Owned,,false,,,"","",26844
"Dryad of the Ilysian Grove",3,"Enchantment Creature - Nymph Dryad",G,"thb","169",rare,g,Owned,Non-foil,false,,,"","",79462
"Endurance",3,"Creature - Elemental Incarnation",G,"mh2","157",mythic,g,Not Owned,,false,,,"","",90691
"Eternal Witness",3,"Creature - Human Shaman",G,"5dn","86",uncommon,g,Not Owned,,false,,,"","",20856
"Ramunap Excavator",3,"Creature - Snake Cleric",G,"hou","129",rare,g,Not Owned,,false,,,"","",64742
"Scute Swarm",3,"Creature - Insect",G,"znr","203",rare,g,Not Owned,,false,,,"","",83395
"Six",3,"Legendary Creature - Treefolk",G,"mh3","169",rare,g,Not Owned,,false,,,"","",126355
"Questing Beast",4,"Legendary Creature - Beast",G,"eld","171",mythic,g,Not Owned,,false,,,"","",78482
"Sowing Mycospawn",4,"Creature - Eldrazi Fungus",G,"mh3","170",rare,g,Not Owned,,false,,,"","",126357
"Undermountain Adventurer",4,"Creature - Giant Warrior",G,"clb","260",rare,g,Owned,Non-foil,false,,,"","",100558
"Elder Gargaroth",5,"Creature - Beast",G,"m21","179",mythic,g,Not Owned,,false,,,"","",81585
"Ohran Frostfang",5,"Snow Creature - Snake",G,"otc","199",rare,g,Owned,Non-foil,false,,,"","",124857
"Titania, Protector of Argoth",5,"Legendary Creature - Elemental",G,"c14","50",mythic,g,Not Owned,,false,,,"","",55119
"Primeval Titan",6,"Creature - Giant",G,"m11","192",mythic,g,Not Owned,,false,,,"","",37400
"Vorinclex, Monstrous Raider",6,"Legendary Creature - Phyrexian Praetor",G,"khm","199",mythic,g,Not Owned,,false,,,"","",87741
"Hornet Queen",7,"Creature - Insect",G,"mkc","172",rare,g,Owned,Non-foil,false,,,"","",122484
"Craterhoof Behemoth",8,"Creature - Beast",G,"avr","172",mythic,g,Owned,Non-foil,false,,,"","",43921
"Woodfall Primus",8,"Creature - Treefolk Shaman",G,"shm","135",rare,g,Owned,Non-foil,false,,,"","",29589
"Worldspine Wurm",11,"Creature - Wurm",G,"rtr","140",mythic,g,Not Owned,,false,,,"","",46795
"Crop Rotation",1,"Instant",G,"ulg","98",common,g,Not Owned,,false,,,"","",12547
"Noxious Revival",1,"Instant",G,"nph","118",uncommon,g,Not Owned,,false,,,"","",39922
"Collective Resistance",2,"Instant",G,"mh3","147",uncommon,g,Not Owned,,false,,,"","",126311
"Tangle",2,"Instant",G,"inv","213",uncommon,g,Owned,Non-foil,false,,,"","",14557
"Collected Company",4,"Instant",G,"dtk","177",rare,g,Not Owned,,false,,,"","",56314
"Force of Vigor",4,"Instant",G,"mh1","164",rare,g,Not Owned,,false,,,"","",72700
"Pest Infestation",1,"Sorcery",G,"c21","65",rare,g,Owned,Non-foil,false,,,"","",89873
"Channel",2,"Sorcery",G,"lea","188",uncommon,g,Not Owned,,false,,,"","",
"Regrowth",2,"Sorcery",G,"lea","214",uncommon,g,Not Owned,,false,,,"","",
"Eureka",4,"Sorcery",G,"leg","185",rare,g,Owned,Non-foil,false,,,"","",
"Natural Order",4,"Sorcery",G,"vis","114",rare,g,Not Owned,,false,,,"","",7647
"Mox Emerald",0,"Artifact",G,"lea","261",rare,g,Not Owned,,false,,,"","",647
"Conduit of Worlds",4,"Artifact",G,"one","163",rare,g,Not Owned,,false,,,"","",106541
"Esika's Chariot",4,"Legendary Artifact - Vehicle",G,"khm","169",rare,g,Not Owned,,false,,,"","",87677
"Exploration",1,"Enchantment",G,"usg","250",rare,g,Not Owned,,false,,,"","",12335
"Fastbond",1,"Enchantment",G,"lea","192",rare,g,Not Owned,,false,,,"","",
"Mirri's Guile",1,"Enchantment",G,"tmp","236",rare,g,Owned,Non-foil,false,,,"","",9831
"Earthcraft",2,"Enchantment",G,"tmp","222",rare,g,Not Owned,,false,,,"","",9823
"Oath of Druids",2,"Enchantment",G,"exo","115",rare,g,Not Owned,,false,,,"","",10519
"Survival of the Fittest",2,"Enchantment",G,"exo","129",rare,g,Not Owned,,false,,,"","",10709
"Sylvan Library",2,"Enchantment",G,"leg","207",uncommon,g,Not Owned,,false,,,"","",
"Pattern of Rebirth",4,"Enchantment - Aura",G,"uma","176",rare,g,Owned,Non-foil,false,,,"","",70425
"Azorius Signet",2,"Artifact",UW,"blc","265",uncommon,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",128677
"Teferi, Time Raveler",3,"Legendary Planeswalker - Teferi",UW,"war","221",rare,m,Not Owned,,false,,,"","",72048
"Urza, Lord Protector",3,"Legendary Creature - Human Artificer",UW,"bro","225",mythic,m,Not Owned,,false,,,"","",105072
"Narset Transcendent",4,"Legendary Planeswalker - Narset",UW,"dtk","225",mythic,m,Not Owned,,false,,,"","",56076
"Fractured Identity",5,"Sorcery",UW,"c17","37",rare,m,Not Owned,,false,,,"","",
"Teferi, Hero of Dominaria",5,"Legendary Planeswalker - Teferi",UW,"dom","207",mythic,m,Not Owned,,false,,,"","",67879
"Baleful Strix",2,"Artifact Creature - Bird",BU,"pc2","82",uncommon,m,Not Owned,,false,,,"","",45066
"Dimir Signet",2,"Artifact",BU,"prm","46924",uncommon,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",46924
"Psychic Frog",2,"Creature - Frog",BU,"mh3","199",rare,m,Not Owned,,false,,,"","",126417
"Ashiok, Dream Render",3,"Legendary Planeswalker - Ashiok",BU,"war","228",uncommon,m,Not Owned,,false,,,"","",72062
"Kaito Shizuki",3,"Legendary Planeswalker - Kaito",BU,"neo","226",mythic,m,Not Owned,,false,,,"","",97400
"Tezzeret, Agent of Bolas",4,"Legendary Planeswalker - Tezzeret",BU,"mbs","97",mythic,m,Not Owned,,false,,,"","",39301
"Fallen Shinobi",5,"Creature - Zombie Ninja",BU,"mh1","199",rare,m,Owned,Non-foil,false,,,"","",72770
"Kroxa, Titan of Death's Hunger",2,"Legendary Creature - Elder Giant",BR,"thb","221",mythic,m,Not Owned,,false,,,"","",79566
"Molten Collapse",2,"Sorcery",BR,"lci","234",rare,m,Owned,Non-foil,false,,,"","",118308
"Rakdos Signet",2,"Artifact",BR,"dis","165",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",24045
"Valki, God of Lies",2,"Legendary Creature - God",BR,"plst","KHM-114",mythic,m,Not Owned,,false,,,"","",
"Carnage Interpreter",3,"Creature - Devil Detective",BR,"clu","26",rare,m,Owned,Non-foil,false,,,"","",123360
"Fire Covenant",3,"Instant",BR,"ice","289",uncommon,m,Not Owned,,false,,,"","",
"Kolaghan's Command",3,"Instant",BR,"dtk","224",rare,m,Not Owned,,false,,,"","",56082
"Ob Nixilis, the Adversary",3,"Legendary Planeswalker - Nixilis",BR,"snc","206",mythic,m,Not Owned,,false,,,"","",98631
"Vial Smasher the Fierce",3,"Legendary Creature - Goblin Berserker",BR,"c16","49",mythic,m,Not Owned,,false,,,"","",
"Gruul Signet",2,"Artifact",GR,"gpt","150",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23669
"Manamorphose",2,"Instant",GR,"shm","211",common,m,Not Owned,,false,,,"","",29653
"Wrenn and Six",2,"Legendary Planeswalker - Wrenn",GR,"mh1","217",mythic,m,Not Owned,,false,,,"","",72806
"Anzrag, the Quake-Mole",4,"Legendary Creature - Mole God",GR,"mkm","186",mythic,m,Not Owned,,false,,,"","",121848
"Bloodbraid Elf",4,"Creature - Elf Berserker",GR,"arb","50",uncommon,m,Not Owned,,false,,,"","",32430
"Minsc & Boo, Timeless Heroes",4,"Legendary Planeswalker - Minsc",GR,"clb","285",mythic,m,Not Owned,,false,,,"","",100608
"Etali, Primal Conqueror",7,"Legendary Creature - Elder Dinosaur",GR,"mom","137",rare,m,Not Owned,,false,,,"","",110122
"Avacyn's Pilgrim",1,"Creature - Human Monk",GW,"isd","170",common,m,Not Owned,,false,,,"","",42678
"Selesnya Signet",2,"Artifact",GW,"rav","270",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23568
"Arwen, Mortal Queen",3,"Legendary Creature - Elf Noble",GW,"ltr","193",mythic,m,Not Owned,,false,,,"","",112296
"Knight of the Reliquary",3,"Creature - Human Knight",GW,"ima","203",rare,m,Owned,Non-foil,false,,,"","",66285
"Orzhov Signet",2,"Artifact",BW,"gpt","155",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23681
"Tidehollow Sculler",2,"Artifact Creature - Zombie",BW,"ala","202",uncommon,m,Owned,Non-foil,false,,,"","",31125
"Lingering Souls",3,"Sorcery",BW,"dka","12",uncommon,m,Not Owned,,false,,,"","",43359
"Lurrus of the Dream-Den",3,"Legendary Creature - Cat Nightmare",BW,"iko","226",rare,m,Not Owned,,false,,,"","",80461
"Vindicate",3,"Sorcery",BW,"apc","126",rare,m,Not Owned,,false,,,"","",16154
"Expressive Iteration",2,"Sorcery",RU,"stx","186",uncommon,m,Not Owned,,false,,,"","",88879
"Goblin Electromancer",2,"Creature - Goblin Wizard",RU,"grn","174",common,m,Owned,Non-foil,false,,,"","",69721
"Izzet Signet",2,"Artifact",RU,"gpt","152",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23679
"Ral, Monsoon Mage",2,"Legendary Creature - Human Wizard",RU,"mh3","247",mythic,m,Not Owned,,false,,,"","",126533
"Third Path Iconoclast",2,"Creature - Human Monk",RU,"otc","244",uncommon,m,Owned,Non-foil,false,,,"","",124951
"Dack Fayden",3,"Legendary Planeswalker - Dack",RU,"cns","42",mythic,m,Not Owned,,false,,,"","",
"Invert Polarity",3,"Instant",RU,"mh3","190",rare,m,Not Owned,,false,,,"","",126397
"Lutri, the Spellchaser",3,"Legendary Creature - Elemental Otter",RU,"mul","52",rare,m,Owned,Non-foil,false,,,"","",109326
"Saheeli, Sublime Artificer",3,"Legendary Planeswalker - Saheeli",RU,"war","234",uncommon,m,Not Owned,,false,,,"","",72074
"Exalted Flamer of Tzeentch",4,"Creature - Demon",RU,"40k","119",rare,m,Not Owned,,false,,,"","",108710
"Jhoira, Weatherlight Captain",4,"Legendary Creature - Human Artificer",RU,"dom","197",mythic,m,Not Owned,,false,,,"","",67859
"Thousand-Year Storm",6,"Enchantment",RU,"grn","207",mythic,m,Owned,Non-foil,false,,,"","",69787
"Deathrite Shaman",1,"Creature - Elf Shaman",BG,"rtr","213",rare,m,Not Owned,,false,,,"","",46777
"Elves of Deep Shadow",1,"Creature - Elf Druid",BG,"rav","161",common,m,Not Owned,,false,,,"","",23100
"Grist, Voracious Larva",1,"Legendary Creature - Insect",BG,"mh3","251",mythic,m,Not Owned,,false,,,"","",126549
"Abrupt Decay",2,"Instant",BG,"rtr","141",rare,m,Not Owned,,false,,,"","",46497
"Assassin's Trophy",2,"Instant",BG,"grn","152",rare,m,Not Owned,,false,,,"","",69677
"Golgari Signet",2,"Artifact",BG,"rav","262",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23564
"Grist, the Hunger Tide",3,"Legendary Planeswalker - Grist",BG,"mh2","202",mythic,m,Not Owned,,false,,,"","",90781
"The Gitrog, Ravenous Ride",5,"Legendary Creature - Frog Horror Mount",BG,"otj","206",mythic,m,Owned,Non-foil,false,,,"","",124323
"Ajani, Nacatl Pariah",2,"Legendary Creature - Cat Warrior",RW,"mh3","237",mythic,m,Not Owned,,false,,,"","",126493
"Boros Signet",2,"Artifact",RW,"rav","255",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",23566
"Forth Eorlingas!",2,"Sorcery",RW,"ltc","56",rare,m,Not Owned,,false,,,"","",113144
"Phlage, Titan of Fire's Fury",3,"Legendary Creature - Elder Giant",RW,"mh3","197",mythic,m,Not Owned,,false,,,"","",126413
"Comet, Stellar Pup",4,"Legendary Planeswalker - Comet",RW,"unf","166",mythic,m,Not Owned,,false,,,"","",115784
"Winota, Joiner of Forces",4,"Legendary Creature - Human Warrior",RW,"iko","216",mythic,m,Not Owned,,false,,,"","",80441
"Otharri, Suns' Glory",5,"Legendary Creature - Phoenix",RW,"onc","39",mythic,m,Owned,Non-foil,false,,,"","",106821
"Tamiyo, Inquisitive Student",1,"Legendary Creature - Moonfolk Wizard",GU,"mh3","242",mythic,m,Not Owned,,false,,,"","",126513
"Kinnan, Bonder Prodigy",2,"Legendary Creature - Human Druid",GU,"iko","192",mythic,m,Not Owned,,false,,,"","",80393
"Simic Signet",2,"Artifact",GU,"dis","166",common,m,Owned,Non-foil,false,,,"Secret Lair Signets","Added from package "Secret Lair Signets": cubecobra.com/packages/64f210f5-b8f2-4958-81b0-731ea5c13450",24015
"Edric, Spymaster of Trest",3,"Legendary Creature - Elf Rogue",GU,"cmd","196",rare,m,Not Owned,,false,,,"","",40629
"Nadu, Winged Wisdom",3,"Legendary Creature - Bird Wizard",GU,"mh3","193",rare,m,Not Owned,,false,,,"","",126403
"Oko, Thief of Crowns",3,"Legendary Planeswalker - Oko",GU,"eld","197",mythic,m,Not Owned,,false,,,"","",78538
"Uro, Titan of Nature's Wrath",3,"Legendary Creature - Elder Giant",GU,"thb","229",mythic,m,Not Owned,,false,,,"","",79582
"Tamiyo, Collector of Tales",4,"Legendary Planeswalker - Tamiyo",GU,"war","220",rare,m,Not Owned,,false,,,"","",72046
"Noble Hierarch",1,"Creature - Human Druid",GUW,"con","87",rare,m,Not Owned,,false,,,"","",31745
"Tamiyo, Field Researcher",4,"Legendary Planeswalker - Tamiyo",GUW,"emn","190",mythic,m,Not Owned,,false,,,"","",61262
"Chulane, Teller of Tales",5,"Legendary Creature - Human Druid",GUW,"mkc","202",mythic,m,Owned,Non-foil,false,,,"","",122544
"Thopter Foundry",2,"Artifact",BUW,"arb","133",uncommon,m,Not Owned,,false,,,"","",32420
"Relic of Sauron",4,"Artifact",BRU,"ltc","79",rare,m,Not Owned,,false,,,"","",113190
"Nicol Bolas, Planeswalker",8,"Legendary Planeswalker - Bolas",BRU,"con","120",mythic,m,Not Owned,,false,,,"","",31909
"Ignoble Hierarch",1,"Creature - Goblin Shaman",BGR,"mh2","166",rare,m,Not Owned,,false,,,"","",90709
"Leovold, Emissary of Trest",3,"Legendary Creature - Elf Advisor",BGU,"cn2","77",mythic,m,Not Owned,,false,,,"","",
"Omnath, Locus of Creation",4,"Legendary Creature - Elemental",GRUW,"znr","232",mythic,m,Not Owned,,false,,,"","",83459
"Atraxa, Grand Unifier",7,"Legendary Creature - Phyrexian Angel",BGUW,"one","196",mythic,m,Not Owned,,false,,,"","",106607
"Leyline of the Guildpact",4,"Enchantment",BGRUW,"mkm","217",rare,m,Owned,Non-foil,false,,,"","",121908
"Walking Ballista",0,"Artifact Creature - Construct",,"aer","181",rare,c,Not Owned,,false,,,"","",62561
"Phyrexian Dreadnought",1,"Artifact Creature - Phyrexian Dreadnought",,"mir","315",rare,c,Not Owned,,false,,,"","",7185
"Wurmcoil Engine",6,"Artifact Creature - Phyrexian Wurm",,"som","223",mythic,c,Not Owned,,false,,,"","",38185
"Blightsteel Colossus",12,"Artifact Creature - Phyrexian Golem",,"mbs","99",mythic,c,Not Owned,,false,,,"","",39587
"Emrakul, the Aeons Torn",15,"Legendary Creature - Eldrazi",,"roe","4",mythic,c,Not Owned,,false,,,"","",36396
"Scion of Draco",12,"Artifact Creature - Dragon",,"mh2","234",mythic,c,Owned,,false,,,"","",90849
"Ulamog, the Ceaseless Hunger",10,"Legendary Creature - Eldrazi",,"bfz","15",mythic,c,Not Owned,,false,,,"","",58301
"Ulamog, the Defiler",10,"Legendary Creature - Eldrazi",,"mh3","15",mythic,c,Not Owned,,false,,,"","",126047
"Karn, Scion of Urza",4,"Legendary Planeswalker - Karn",,"dom","1",mythic,c,Not Owned,,false,,,"","",67467
"Karn, the Great Creator",4,"Legendary Planeswalker - Karn",,"war","1",rare,c,Not Owned,,false,,,"","",71608
"Karn Liberated",7,"Legendary Planeswalker - Karn",,"nph","1",mythic,c,Not Owned,,false,,,"","",39710
"Black Lotus",0,"Artifact",,"lea","232",rare,c,Not Owned,,false,,,"","",347
"Chrome Mox",0,"Artifact",,"mrd","152",rare,c,Not Owned,,false,,,"","",19831
"Lion's Eye Diamond",0,"Artifact",,"mir","307",rare,c,Not Owned,,false,,,"","",7103
"Lotus Petal",0,"Artifact",,"tmp","294",common,c,Not Owned,,false,,,"","",9475
"Mana Crypt",0,"Artifact",,"phpr","5",rare,c,Not Owned,,false,,,"","",
"Mishra's Bauble",0,"Artifact",,"csp","138",uncommon,c,Not Owned,,false,,,"","",24821
"Mox Diamond",0,"Artifact",,"sth","138",rare,c,Not Owned,,false,,,"","",10325
"Mox Opal",0,"Legendary Artifact",,"som","179",mythic,c,Not Owned,,false,,,"","",38197
"Zuran Orb",0,"Artifact",,"ice","350",uncommon,c,Not Owned,,false,,,"","",
"Basilisk Collar",1,"Artifact - Equipment",,"wwk","122",rare,c,Not Owned,,false,,,"","",35695
"Candelabra of Tawnos",1,"Artifact",,"atq","43",rare,c,Not Owned,,false,,,"","",
"Currency Converter",1,"Artifact",,"ncc","81",rare,c,Owned,Non-foil,false,,,"","",
"Expedition Map",1,"Artifact",,"zen","201",common,c,Not Owned,,false,,,"","",34832
"Mana Vault",1,"Artifact",,"lea","259",rare,c,Not Owned,,false,,,"","",
"Retrofitter Foundry",1,"Artifact",,"c18","57",rare,c,Not Owned,,false,,,"","",
"Sensei's Divining Top",1,"Artifact",,"chk","268",uncommon,c,Not Owned,,false,,,"","",21045
"Shadowspear",1,"Legendary Artifact - Equipment",,"thb","236",rare,c,Not Owned,,false,,,"","",79596
"Skullclamp",1,"Artifact - Equipment",,"dst","140",uncommon,c,Not Owned,,false,,,"","",20551
"Sol Ring",1,"Artifact",,"lea","269",uncommon,c,Not Owned,,false,,,"","",
"Soul-Guide Lantern",1,"Artifact",,"thb","237",uncommon,c,Not Owned,,false,,,"","",79598
"Altar of Dementia",2,"Artifact",,"tmp","276",rare,c,Not Owned,,false,,,"","",9741
"Grim Monolith",2,"Artifact",,"ulg","126",rare,c,Not Owned,,false,,,"","",12551
"Helm of Awakening",2,"Artifact",,"plst","VIS-145",uncommon,c,Owned,Non-foil,false,,,"","",
"Isochron Scepter",2,"Artifact",,"mrd","188",uncommon,c,Owned,Non-foil,false,,,"","",19665
"Sword of the Meek",2,"Artifact - Equipment",,"fut","165",uncommon,c,Not Owned,,false,,,"","",26660
"Time Vault",2,"Artifact",,"lea","274",rare,c,Not Owned,,false,,,"","",
"Umezawa's Jitte",2,"Legendary Artifact - Equipment",,"bok","163",rare,c,Not Owned,,false,,,"","",21603
"Unlicensed Hearse",2,"Artifact - Vehicle",,"snc","246",rare,c,Not Owned,,false,,,"","",98711
"Basalt Monolith",3,"Artifact",,"lea","231",uncommon,c,Not Owned,,false,,,"","",
"Crucible of Worlds",3,"Artifact",,"5dn","114",rare,c,Not Owned,,false,,,"","",20790
"Ensnaring Bridge",3,"Artifact",,"a25","224",mythic,c,Not Owned,,false,,,"","",67362
"Palantír of Orthanc",3,"Legendary Artifact",,"ltr","247",mythic,c,Not Owned,,false,,,"","",112404
"Sword of Body and Mind",3,"Artifact - Equipment",,"v10","14",mythic,c,Not Owned,,false,,,"","",37649
"Aetherflux Reservoir",4,"Artifact",,"kld","192",rare,c,Not Owned,,false,,,"","",61805
"Smokestack",4,"Artifact",,"usg","309",rare,c,Not Owned,,false,,,"","",12131
"The One Ring",4,"Legendary Artifact",,"ltr","246",mythic,c,Not Owned,,false,,,"","",112402
"Thran Dynamo",4,"Artifact",,"uds","139",uncommon,c,Owned,Non-foil,false,,,"","",12925
"Batterskull",5,"Artifact - Equipment",,"nph","130",mythic,c,Not Owned,,false,,,"","",39974
"Memory Jar",5,"Artifact",,"ulg","129",rare,c,Not Owned,,false,,,"","",12697
"Paradox Engine",5,"Legendary Artifact",,"aer","169",mythic,c,Not Owned,,false,,,"","",62911
"The Mightstone and Weakstone",5,"Legendary Artifact - Powerstone",,"bro","238a",rare,c,Not Owned,,false,,,"","",105100
"Coveted Jewel",6,"Artifact",,"c18","54",rare,c,Not Owned,,false,,,"","",
"Mindslaver",6,"Legendary Artifact",,"mrd","206",rare,c,Not Owned,,false,,,"","",19827
"Mycosynth Lattice",6,"Artifact",,"dst","130",rare,c,Not Owned,,false,,,"","",20585
"Kaldra Compleat",7,"Legendary Artifact - Equipment",,"cmm","958",mythic,c,Owned,Non-foil,false,,,"","",114257
"Portal to Phyrexia",9,"Artifact",,"bro","240",mythic,c,Not Owned,,false,,,"","",105104
"Hallowed Fountain",0,"Land - Plains Island",UW,"dis","174",rare,l,Not Owned,,false,,,"","",24001
"Meticulous Archive",0,"Land - Plains Island",UW,"pmkm","264p",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",
"Tundra",0,"Land - Plains Island",UW,"lea","284",rare,l,Not Owned,,false,,,"","",
"Undercity Sewers",0,"Land - Island Swamp",BU,"mkm","270",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122032
"Underground Sea",0,"Land - Island Swamp",BU,"lea","285",rare,l,Not Owned,,false,,,"","",
"Watery Grave",0,"Land - Island Swamp",BU,"rav","286",rare,l,Not Owned,,false,,,"","",23586
"Badlands",0,"Land - Swamp Mountain",BR,"lea","277",rare,l,Not Owned,,false,,,"","",
"Blood Crypt",0,"Land - Swamp Mountain",BR,"dis","171",rare,l,Not Owned,,false,,,"","",24053
"Raucous Theater",0,"Land - Swamp Mountain",BR,"pmkm","266s",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",
"Commercial District",0,"Land - Mountain Forest",GR,"mkm","259",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122010
"Stomping Ground",0,"Land - Mountain Forest",GR,"gpt","165",rare,l,Not Owned,,false,,,"","",23709
"Taiga",0,"Land - Mountain Forest",GR,"lea","282",rare,l,Not Owned,,false,,,"","",
"Lush Portico",0,"Land - Forest Plains",GW,"pmkm","263p",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",
"Savannah",0,"Land - Forest Plains",GW,"lea","280",rare,l,Not Owned,,false,,,"","",
"Temple Garden",0,"Land - Forest Plains",GW,"rav","284",rare,l,Not Owned,,false,,,"","",23594
"Godless Shrine",0,"Land - Plains Swamp",BW,"gpt","157",rare,l,Not Owned,,false,,,"","",23755
"Scrubland",0,"Land - Plains Swamp",BW,"lea","281",rare,l,Not Owned,,false,,,"","",
"Shadowy Backstreet",0,"Land - Plains Swamp",BW,"mkm","268",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122028
"Steam Vents",0,"Land - Island Mountain",RU,"gpt","164",rare,l,Not Owned,,false,,,"","",23739
"Thundering Falls",0,"Land - Island Mountain",RU,"mkm","269",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122030
"Volcanic Island",0,"Land - Island Mountain",RU,"leb","287",rare,l,Not Owned,,false,,,"","",
"Bayou",0,"Land - Swamp Forest",BG,"lea","278",rare,l,Not Owned,,false,,,"","",
"Overgrown Tomb",0,"Land - Swamp Forest",BG,"rav","279",rare,l,Not Owned,,false,,,"","",23592
"Underground Mortuary",0,"Land - Swamp Forest",BG,"mkm","271",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122034
"Elegant Parlor",0,"Land - Mountain Plains",RW,"mkm","260",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",122012
"Plateau",0,"Land - Mountain Plains",RW,"lea","279",rare,l,Not Owned,,false,,,"","",
"Sacred Foundry",0,"Land - Mountain Plains",RW,"rav","280",rare,l,Not Owned,,false,,,"","",23590
"Breeding Pool",0,"Land - Forest Island",GU,"dis","172",rare,l,Not Owned,,false,,,"","",24029
"Hedge Maze",0,"Land - Forest Island",GU,"pmkm","262s",rare,l,Owned,Non-foil,false,,,"Surveil Lands","Added from package "Surveil Lands": cubecobra.com/packages/bd0256b7-5a5c-4c58-9a1d-29fc53a3847b",
